customer_id,age,gender,item_purchased,category,purchase_amount_(usd),location,size,color,season,review_rating,subscription_status,payment_method,shipping_type,discount_applied,promo_code_used,previous_purchases,preferred_payment_method,frequency_of_purchases,_quality_score,_original_index,_cleaned_at
1.0,55.0,male,blouse,clothing,53.0,kentucky,l,gray,winter,3.1,True,credit_card,express,True,True,14.0,venmo,fortnightly,1.0,0,2026-04-25 09:50:22.623131
2.0,19.0,male,sweater,clothing,64.0,maine,l,maroon,winter,3.1,True,bank_transfer,express,True,True,2.0,cash,fortnightly,1.0,1,2026-04-25 09:50:22.623131
3.0,50.0,male,jeans,clothing,73.0,massachusetts,s,maroon,spring,3.1,True,cash,free_shipping,True,True,23.0,credit_card,weekly,1.0,2,2026-04-25 09:50:22.623131
4.0,21.0,male,sandals,footwear,90.0,rhode_island,m,maroon,spring,3.5,True,paypal,next_day_air,True,True,49.0,paypal,weekly,1.0,3,2026-04-25 09:50:22.623131
5.0,45.0,male,blouse,clothing,49.0,oregon,m,turquoise,spring,2.7,True,cash,free_shipping,True,True,31.0,paypal,annually,1.0,4,2026-04-25 09:50:22.623131
6.0,46.0,male,sneakers,footwear,20.0,wyoming,m,white,summer,2.9,True,venmo,standard,True,True,14.0,venmo,weekly,1.0,5,2026-04-25 09:50:22.623131
7.0,63.0,male,shirt,clothing,85.0,montana,m,gray,fall,3.2,True,debit_card,free_shipping,True,True,49.0,cash,quarterly,1.0,6,2026-04-25 09:50:22.623131
8.0,27.0,male,shorts,clothing,34.0,louisiana,l,charcoal,winter,3.2,True,debit_card,free_shipping,True,True,19.0,credit_card,weekly,1.0,7,2026-04-25 09:50:22.623131
9.0,26.0,male,coat,outerwear,97.0,west_virginia,l,silver,summer,2.6,True,venmo,express,True,True,8.0,venmo,annually,1.0,8,2026-04-25 09:50:22.623131
10.0,57.0,male,handbag,accessories,31.0,missouri,m,pink,spring,4.8,True,paypal,2-day_shipping,True,True,4.0,cash,quarterly,1.0,9,2026-04-25 09:50:22.623131
11.0,53.0,male,shoes,footwear,34.0,arkansas,l,purple,fall,4.1,True,credit_card,store_pickup,True,True,26.0,bank_transfer,bi-weekly,1.0,10,2026-04-25 09:50:22.623131
12.0,30.0,male,shorts,clothing,68.0,hawaii,s,olive,winter,4.9,True,paypal,store_pickup,True,True,10.0,bank_transfer,fortnightly,1.0,11,2026-04-25 09:50:22.623131
13.0,61.0,male,coat,outerwear,72.0,delaware,m,gold,winter,4.5,True,paypal,express,True,True,37.0,venmo,fortnightly,1.0,12,2026-04-25 09:50:22.623131
